samplers,SlaughterDate,Timepoint,Diet,Diet_Tank,ID,BW,Length,Sex,cataract_V,cataract_H,cataract_sum,Fat_Score,Heart_Score,softliver,patchy_liver,Liver_Score,Heart_W,Liver_W,GW,SlaughYield,CF,HSI,CSI,L,a,b,Gut_Abstruc,Gut_light,Anus_ble,Gut_ble,Sca_lossScor,Bleeding,Parr_mark,Tail_sli,UJ_dform,LJ_dform,O_dform,Ryggf_d,BugF_sli,BugF_bleed,Deform
sample217,29/10/20,T2,CTR,CTR-2,7,183.7,23.8,M,0,0,0,3,0,0,0,3.5,0.232,,135,,,,0.13,,,,0,1,,0,1,0,0,0.5,0,0,0,0.5,0.5,0,0
sample218,29/10/20,T2,CTR,CTR-2,8,104.6,21.2,F,0,0,0,3,0,1,0,3,0.168,0.69,94,89.86615679,1.1,0.66,0.16,,,,0,1,1,0,1.5,0,0,1,0,0,0,0,1,0,0
sample219,29/10/20,T2,CTR,CTR-2,9,122.3,22.4,F,0,0,0,3,0,0,0,4,0.213,0.99,111,90.76042518,1.09,0.81,0.17,,,,0,1,,1,1,0,0,1,0,0,0.5,2,0,0,0
sample220,29/10/20,T2,CTR,CTR-2,10,74.6,19.2,F,0,0,0,3,0,0,0,3,0.124,0.36,67,89.81233244,1.05,0.48,0.17,,,,1,1,1,0,1,0,0,0,0,0,0,0.5,0,0,0
sample221,29/10/20,T2,MN3,MN3-2,1,110,20,F,0,0,0,2,0.5,0,0,3,0.196,0.75,100.47,91.33636364,1.38,0.68,0.18,,,,0,1,,0,0,0,0,0,0,0,0,0,1,0,1
sample222,29/10/20,T2,MN3,MN3-2,2,103.9,20.4,F,0,0,0,3,0,0,0,3,0.162,0.71,92,88.5466795,1.22,0.68,0.16,,,,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0
sample223,29/10/20,T2,MN3,MN3-2,3,109.7,19.8,M,0,0,0,2,0,1,0,2,0.151,0.92,99,90.2461258,1.41,0.84,0.14,,,,0,1,,0,1.5,0,0,0.5,0,0,0,1,1,0,1
sample224,29/10/20,T2,MN3,MN3-2,4,95.4,19.2,F,0,0,0,2.5,0,0,0,3,0.132,0.67,87.1,91.29979036,1.35,0.7,0.14,,,,1,1,,1,0.5,0,0,0,0,0,0,1.5,1,0,1
sample225,29/10/20,T2,MN3,MN3-2,5,110.9,21.3,M,0,0,0,3,0,0,0,3,0.146,0.9,100.4,90.53201082,1.15,0.81,0.13,,,,0,1,1,0,1,0,0,0,0,0,0.5,0,0,0,0
sample226,29/10/20,T2,MN3,MN3-2,6,104.2,21.1,M,0,0,0,3,0,0,0,3,0.135,0.78,98.5,94.52975048,1.11,0.75,0.13,,,,0,0,0,0,0.5,0,0,0.5,0,0,0,3,0.5,0,0
sample227,29/10/20,T2,MN3,MN3-2,7,91.5,18.2,M,0,0,0,2,0,1,0,2.5,0.188,0.67,82.7,90.38251366,1.52,0.73,0.21,,,,1,1,,0,0.5,0,0,0,0,0,0,1,1,0,1
sample228,29/10/20,T2,MN3,MN3-2,8,113.1,21.8,M,0,0,0,3,0,1,0,3,0.15,0.76,101,89.30150309,1.09,0.67,0.13,,,,0,1,0,0,1,0,0,0.5,0,0,0,0.5,2,0,0
sample229,29/10/20,T2,MN3,MN3-2,9,97.9,21.2,,0,0,0,3,0,0,0,3,0.121,0.81,87.8,89.68335036,1.03,0.83,0.12,,,,1,1,,0,2.5,0,0,0.5,0,0,0.5,2,0.5,0,0
sample230,29/10/20,T2,MN3,MN3-2,10,106.2,20.8,M,0,0,0,3,0,1,0,3.5,,0.72,95.1,89.5480226,1.18,0.68,,,,,1,1,,1,0.5,0,0,2,0,0,0,0.5,0.5,0,0
sample231,30/10/20,T2,MC2,MC2-3,1,111.7,20.8,M,0,0,0,1.5,0,0,0,3,0.186,1.13,101.08,90.49239033,1.24,1.01,0.17,,,,0,1,,0,0,0,0,0,0,0,0,0.5,0.5,0,0
sample232,30/10/20,T2,MC2,MC2-3,2,105.2,22,M,0,0,0,3,0,0,0,4,0.159,0.81,105,99.80988593,0.99,0.77,0.15,,,,0,1,,0,1,0,0,0.5,0,0,0,0.5,0.5,0,0
sample233,30/10/20,T2,MC2,MC2-3,3,129.5,22.3,M,0,0,0,3,0,0,0,3.5,0.167,0.96,118.3,91.35135135,1.17,0.74,0.13,,,,0,1,,0,1,0,0,1.5,0,0,0,1,1,0,0
sample234,30/10/20,T2,MC2,MC2-3,4,133,22,F,0,0,0,1.5,,0,0,2.5,,1.01,122.3,91.95488722,1.25,0.76,,,,,,1,,0,1,0,0,1,0,0,0,1,1,0,0
sample235,30/10/20,T2,MC2,MC2-3,5,132,23.4,M,0,0,0,2,,1,0,2.5,,1.13,119.6,90.60606061,1.03,0.86,,,,,0,1,1,0,1,0,0,1,0,0,0,0,2,0,0
